source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Atopobium,Oribacterium,bacteria_24,bacteria_28,0.41893422,2.59E-07,bacteria_24|bacteria_28,preCOPD,bb,0.41893422
Haemophilus,Pasteurellaceae,bacteria_7,bacteria_31,0.576485981,9.10E-14,bacteria_7|bacteria_31,preCOPD,bb,0.576485981
Bulleidia,Pasteurellaceae,bacteria_18,bacteria_31,-0.426403377,1.50E-07,bacteria_18|bacteria_31,preCOPD,bb,0.426403377
Mogibacteriaceae,Clostridiales,bacteria_17,bacteria_30,0.431868413,9.94E-08,bacteria_17|bacteria_30,preCOPD,bb,0.431868413
Bulleidia,Clostridiales,bacteria_18,bacteria_30,0.466919135,6.06E-09,bacteria_18|bacteria_30,preCOPD,bb,0.466919135
Neisseriaceae,Capnocytophaga,bacteria_2,bacteria_32,0.457892468,1.28E-08,bacteria_2|bacteria_32,preCOPD,bb,0.457892468
SR1,Capnocytophaga,bacteria_22,bacteria_32,0.507689772,1.53E-10,bacteria_22|bacteria_32,preCOPD,bb,0.507689772
Neisseriaceae,Kingella,bacteria_2,bacteria_34,0.504336849,2.11E-10,bacteria_2|bacteria_34,preCOPD,bb,0.504336849
Aggregatibacter,Kingella,bacteria_21,bacteria_34,0.473159742,3.56E-09,bacteria_21|bacteria_34,preCOPD,bb,0.473159742
Neisseria,Kingella,bacteria_23,bacteria_34,0.488345564,9.31E-10,bacteria_23|bacteria_34,preCOPD,bb,0.488345564
Lautropia,Kingella,bacteria_25,bacteria_34,0.484366557,1.33E-09,bacteria_25|bacteria_34,preCOPD,bb,0.484366557
Capnocytophaga,Dialister,bacteria_32,bacteria_35,-0.435551676,7.52E-08,bacteria_32|bacteria_35,preCOPD,bb,0.435551676
Prevotella,Moryella,bacteria_1,bacteria_39,0.507976115,1.49E-10,bacteria_1|bacteria_39,preCOPD,bb,0.507976115
Neisseriaceae,Moryella,bacteria_2,bacteria_39,-0.41071299,4.65E-07,bacteria_2|bacteria_39,preCOPD,bb,0.41071299
Veillonella,Moryella,bacteria_4,bacteria_39,0.402776364,8.07E-07,bacteria_4|bacteria_39,preCOPD,bb,0.402776364
SR1,Moryella,bacteria_22,bacteria_39,-0.404924869,6.96E-07,bacteria_22|bacteria_39,preCOPD,bb,0.404924869
Atopobium,Moryella,bacteria_24,bacteria_39,0.463150616,8.31E-09,bacteria_24|bacteria_39,preCOPD,bb,0.463150616
Capnocytophaga,Moryella,bacteria_32,bacteria_39,-0.467873324,5.59E-09,bacteria_32|bacteria_39,preCOPD,bb,0.467873324
Fusobacterium,Parvimonas,bacteria_5,bacteria_40,0.410657062,4.67E-07,bacteria_5|bacteria_40,preCOPD,bb,0.410657062
Mogibacteriaceae,Parvimonas,bacteria_17,bacteria_40,0.416044369,3.18E-07,bacteria_17|bacteria_40,preCOPD,bb,0.416044369
Clostridiaceae,Parvimonas,bacteria_19,bacteria_40,0.463117154,8.33E-09,bacteria_19|bacteria_40,preCOPD,bb,0.463117154
SR1,Parvimonas,bacteria_22,bacteria_40,0.414244114,3.62E-07,bacteria_22|bacteria_40,preCOPD,bb,0.414244114
Filifactor,Parvimonas,bacteria_27,bacteria_40,0.424715911,1.69E-07,bacteria_27|bacteria_40,preCOPD,bb,0.424715911
Treponema,Bacteroidales,bacteria_15,bacteria_41,0.633213864,0,bacteria_15|bacteria_41,preCOPD,bb,0.633213864
Filifactor,Bacteroidales,bacteria_27,bacteria_41,0.526305249,2.41E-11,bacteria_27|bacteria_41,preCOPD,bb,0.526305249
Prevotella,Mogibacterium,bacteria_1,bacteria_42,0.560993254,5.64E-13,bacteria_1|bacteria_42,preCOPD,bb,0.560993254
Bulleidia,Mogibacterium,bacteria_18,bacteria_42,0.558314492,7.65E-13,bacteria_18|bacteria_42,preCOPD,bb,0.558314492
Neisseria,Mogibacterium,bacteria_23,bacteria_42,-0.407741317,5.73E-07,bacteria_23|bacteria_42,preCOPD,bb,0.407741317
Atopobium,Mogibacterium,bacteria_24,bacteria_42,0.572291049,1.51E-13,bacteria_24|bacteria_42,preCOPD,bb,0.572291049
Clostridiaceae,Catonella,bacteria_19,bacteria_43,0.409969894,4.90E-07,bacteria_19|bacteria_43,preCOPD,bb,0.409969894
Mogibacteriaceae,Mycoplasma,bacteria_17,bacteria_44,0.477945652,2.35E-09,bacteria_17|bacteria_44,preCOPD,bb,0.477945652
Filifactor,Mycoplasma,bacteria_27,bacteria_44,0.500290823,3.10E-10,bacteria_27|bacteria_44,preCOPD,bb,0.500290823
Porphyromonas,Tannerella,bacteria_6,bacteria_45,0.5037671,2.23E-10,bacteria_6|bacteria_45,preCOPD,bb,0.5037671
Treponema,Tannerella,bacteria_15,bacteria_45,0.51260269,9.51E-11,bacteria_15|bacteria_45,preCOPD,bb,0.51260269
Filifactor,Tannerella,bacteria_27,bacteria_45,0.458475702,1.22E-08,bacteria_27|bacteria_45,preCOPD,bb,0.458475702
Bacteroidales,Tannerella,bacteria_41,bacteria_45,0.400234885,9.60E-07,bacteria_41|bacteria_45,preCOPD,bb,0.400234885
Streptococcus,Planococcaceae,bacteria_3,bacteria_48,0.42202923,2.06E-07,bacteria_3|bacteria_48,preCOPD,bb,0.42202923
Rothia,Planococcaceae,bacteria_8,bacteria_48,0.457659853,1.31E-08,bacteria_8|bacteria_48,preCOPD,bb,0.457659853
Granulicatella,Planococcaceae,bacteria_12,bacteria_48,0.602769892,3.33E-15,bacteria_12|bacteria_48,preCOPD,bb,0.602769892
Capnocytophaga,Weeksellaceae,bacteria_32,bacteria_49,0.524476306,2.91E-11,bacteria_32|bacteria_49,preCOPD,bb,0.524476306
Treponema,TG5,bacteria_15,bacteria_53,0.516297704,6.61E-11,bacteria_15|bacteria_53,preCOPD,bb,0.516297704
Selenomonas,TG5,bacteria_46,bacteria_53,0.435074422,7.80E-08,bacteria_46|bacteria_53,preCOPD,bb,0.435074422
Porphyromonas,Peptococcus,bacteria_6,bacteria_54,0.415300076,3.36E-07,bacteria_6|bacteria_54,preCOPD,bb,0.415300076
Treponema,Peptococcus,bacteria_15,bacteria_54,0.445747983,3.41E-08,bacteria_15|bacteria_54,preCOPD,bb,0.445747983
Clostridiaceae,Peptococcus,bacteria_19,bacteria_54,0.525957728,2.50E-11,bacteria_19|bacteria_54,preCOPD,bb,0.525957728
Filifactor,Peptococcus,bacteria_27,bacteria_54,0.531489241,1.41E-11,bacteria_27|bacteria_54,preCOPD,bb,0.531489241
Fusobacterium,RF39,bacteria_5,bacteria_58,0.403206453,7.84E-07,bacteria_5|bacteria_58,preCOPD,bb,0.403206453
SR1,RF39,bacteria_22,bacteria_58,0.537178674,7.78E-12,bacteria_22|bacteria_58,preCOPD,bb,0.537178674
Parvimonas,RF39,bacteria_40,bacteria_58,0.404040819,7.40E-07,bacteria_40|bacteria_58,preCOPD,bb,0.404040819
Streptococcus,Enterococcus,bacteria_3,bacteria_60,0.446434238,3.23E-08,bacteria_3|bacteria_60,preCOPD,bb,0.446434238
Granulicatella,Enterococcus,bacteria_12,bacteria_60,0.489526861,8.37E-10,bacteria_12|bacteria_60,preCOPD,bb,0.489526861
Planococcaceae,Enterococcus,bacteria_48,bacteria_60,0.525986227,2.49E-11,bacteria_48|bacteria_60,preCOPD,bb,0.525986227
Fusobacterium,Peptostreptococcaceae,bacteria_5,bacteria_62,0.44760925,2.94E-08,bacteria_5|bacteria_62,preCOPD,bb,0.44760925
Peptococcus,Peptostreptococcaceae,bacteria_54,bacteria_62,0.470848693,4.34E-09,bacteria_54|bacteria_62,preCOPD,bb,0.470848693
Prevotella,TM7-3,bacteria_1,bacteria_63,0.423726166,1.82E-07,bacteria_1|bacteria_63,preCOPD,bb,0.423726166
Kingella,Comamonadaceae,bacteria_34,bacteria_61,0.402121761,8.44E-07,bacteria_34|bacteria_61,preCOPD,bb,0.402121761
Catonella,Anaerovorax,bacteria_43,bacteria_68,0.478708786,2.20E-09,bacteria_43|bacteria_68,preCOPD,bb,0.478708786
RF39,Anaerovorax,bacteria_58,bacteria_68,0.410324422,4.78E-07,bacteria_58|bacteria_68,preCOPD,bb,0.410324422
Peptostreptococcaceae,Anaerovorax,bacteria_62,bacteria_68,0.437887113,6.29E-08,bacteria_62|bacteria_68,preCOPD,bb,0.437887113
Treponema,Acidaminobacteraceae,bacteria_15,bacteria_69,0.619728036,4.44E-16,bacteria_15|bacteria_69,preCOPD,bb,0.619728036
Filifactor,Acidaminobacteraceae,bacteria_27,bacteria_69,0.610851706,1.11E-15,bacteria_27|bacteria_69,preCOPD,bb,0.610851706
Bacteroidales,Acidaminobacteraceae,bacteria_41,bacteria_69,0.479650318,2.02E-09,bacteria_41|bacteria_69,preCOPD,bb,0.479650318
Mycoplasma,Acidaminobacteraceae,bacteria_44,bacteria_69,0.429160653,1.22E-07,bacteria_44|bacteria_69,preCOPD,bb,0.429160653
Erwinia,Enterobacteriaceae,bacteria_37,bacteria_66,0.485010817,1.26E-09,bacteria_37|bacteria_66,preCOPD,bb,0.485010817
Kingella,Cardiobacterium,bacteria_34,bacteria_71,0.552960502,1.40E-12,bacteria_34|bacteria_71,preCOPD,bb,0.552960502
Gemellaceae,Gemella,bacteria_9,bacteria_73,0.579367949,6.39E-14,bacteria_9|bacteria_73,preCOPD,bb,0.579367949
Treponema,Schwartzia,bacteria_15,bacteria_79,0.401655303,8.72E-07,bacteria_15|bacteria_79,preCOPD,bb,0.401655303
Selenomonas,Schwartzia,bacteria_46,bacteria_79,0.450100533,2.41E-08,bacteria_46|bacteria_79,preCOPD,bb,0.450100533
Porphyromonas,Peptostreptococcus,bacteria_6,bacteria_80,0.417086257,2.95E-07,bacteria_6|bacteria_80,preCOPD,bb,0.417086257
Clostridiaceae,Peptostreptococcus,bacteria_19,bacteria_80,0.650705019,0,bacteria_19|bacteria_80,preCOPD,bb,0.650705019
Parvimonas,Peptostreptococcus,bacteria_40,bacteria_80,0.452155629,2.05E-08,bacteria_40|bacteria_80,preCOPD,bb,0.452155629
Treponema,ML615J-28,bacteria_15,bacteria_81,0.433558781,8.75E-08,bacteria_15|bacteria_81,preCOPD,bb,0.433558781
Lactobacillus,Aeromonadaceae,bacteria_50,bacteria_88,0.426129702,1.53E-07,bacteria_50|bacteria_88,preCOPD,bb,0.426129702
Agaricomycetes,Agaricomycetes_2,fungi_560,fungi_845,0.502017149,2.63E-10,fungi_560|fungi_845,preCOPD,ff,0.502017149
Alfaria,Bjerkandera,fungi_441,fungi_768,0.445095424,3.59E-08,fungi_441|fungi_768,preCOPD,ff,0.445095424
Apiotrichum,Candida,fungi_926,fungi_330,0.462871352,8.50E-09,fungi_926|fungi_330,preCOPD,ff,0.462871352
Aureobasidium,Candida,fungi_73,fungi_330,0.570176799,1.93E-13,fungi_73|fungi_330,preCOPD,ff,0.570176799
Agaricomycetes,Ceriporia,fungi_560,fungi_748,0.487075342,1.04E-09,fungi_560|fungi_748,preCOPD,ff,0.487075342
Apiognomonia,Chaetothyriales_2,fungi_358,fungi_211,0.573141779,1.36E-13,fungi_358|fungi_211,preCOPD,ff,0.573141779
Planococcaceae,Chytridiomycota,bacteria_48,fungi_956,0.438545422,5.98E-08,bacteria_48|fungi_956,preCOPD,bf,0.438545422
Agaricomycetes_2,Clitopilus,fungi_845,fungi_580,0.508311433,1.44E-10,fungi_845|fungi_580,preCOPD,ff,0.508311433
Antrodia,Clitopilus,fungi_726,fungi_580,0.427610955,1.37E-07,fungi_726|fungi_580,preCOPD,ff,0.427610955
Ascotricha,Coniochaeta,fungi_536,fungi_349,0.483607999,1.42E-09,fungi_536|fungi_349,preCOPD,ff,0.483607999
Agaricomycetes,Coprinellus,fungi_560,fungi_609,0.45808399,1.26E-08,fungi_560|fungi_609,preCOPD,ff,0.45808399
Cerrena,Coprinellus,fungi_722,fungi_609,0.477666789,2.41E-09,fungi_722|fungi_609,preCOPD,ff,0.477666789
Agaricomycetes_2,Coprinopsis,fungi_845,fungi_610,0.405348408,6.76E-07,fungi_845|fungi_610,preCOPD,ff,0.405348408
Clitopilus,Coprinopsis,fungi_580,fungi_610,0.458936652,1.18E-08,fungi_580|fungi_610,preCOPD,ff,0.458936652
Agaricomycetes_2,Crustodontia,fungi_845,fungi_758,0.477390258,2.46E-09,fungi_845|fungi_758,preCOPD,ff,0.477390258
Clitopilus,Crustodontia,fungi_580,fungi_758,0.40872505,5.35E-07,fungi_580|fungi_758,preCOPD,ff,0.40872505
Cladosporium,Cryptococcus,fungi_23,fungi_914,0.405402187,6.74E-07,fungi_23|fungi_914,preCOPD,ff,0.405402187
Clitopilus,Dacryobolus,fungi_580,fungi_729,0.41800543,2.76E-07,fungi_580|fungi_729,preCOPD,ff,0.41800543
Agaricomycetes,Earliella,fungi_560,fungi_783,0.403005608,7.95E-07,fungi_560|fungi_783,preCOPD,ff,0.403005608
