source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Neisseriaceae,Eikenella,bacteria_2,bacteria_102,0.361520951679802,0,bacteria_2|bacteria_102,Health,bb,0.361520951679802
Agaricomycetes,Agaricomycetes_2,fungi_560,fungi_845,0.387769456772441,0,fungi_560|fungi_845,Health,ff,0.387769456772441
Apiotrichum,Candida,fungi_926,fungi_330,0.403841041523228,0,fungi_926|fungi_330,Health,ff,0.403841041523228
Aureobasidium,Candida,fungi_73,fungi_330,0.507238589905015,0,fungi_73|fungi_330,Health,ff,0.507238589905015
Clostridiaceae,Chytridiomycota,bacteria_19,fungi_956,0.374744251971244,0,bacteria_19|fungi_956,Health,bf,0.374744251971244
SR1,Chytridiomycota,bacteria_22,fungi_956,0.46752085779444,0,bacteria_22|fungi_956,Health,bf,0.46752085779444
Anaerovorax,Chytridiomycota,bacteria_68,fungi_956,0.354002880446975,4.44089209850063e-16,bacteria_68|fungi_956,Health,bf,0.354002880446975
Aureobasidium,Chytridiomycota,fungi_73,fungi_956,0.372344989258667,0,fungi_73|fungi_956,Health,ff,0.372344989258667
Candida,Chytridiomycota,fungi_330,fungi_956,0.382827050176045,0,fungi_330|fungi_956,Health,ff,0.382827050176045
Acremonium,Cladosporium,fungi_406,fungi_23,0.354714724457254,4.44089209850063e-16,fungi_406|fungi_23,Health,ff,0.354714724457254
Ceriporia,Coprinellus,fungi_748,fungi_609,0.366674333976877,0,fungi_748|fungi_609,Health,ff,0.366674333976877
Amyloporia,Dacryobolus,fungi_725,fungi_729,0.36706528475731,0,fungi_725|fungi_729,Health,ff,0.36706528475731
Ceriporia,Earliella,fungi_748,fungi_783,0.401690086993269,0,fungi_748|fungi_783,Health,ff,0.401690086993269
Cerrena,Earliella,fungi_722,fungi_783,0.379443091252048,0,fungi_722|fungi_783,Health,ff,0.379443091252048
Coriolopsis,Earliella,fungi_781,fungi_783,0.394442418628485,0,fungi_781|fungi_783,Health,ff,0.394442418628485
Agaricales,Exidia,fungi_561,fungi_647,0.360877943427816,0,fungi_561|fungi_647,Health,ff,0.360877943427816
Ceriporia,Grammothele,fungi_748,fungi_786,0.352834121873553,4.44089209850063e-16,fungi_748|fungi_786,Health,ff,0.352834121873553
Agaricales,Gymnopus,fungi_561,fungi_596,0.405741961664323,0,fungi_561|fungi_596,Health,ff,0.405741961664323
Agaricomycetes_2,Gymnopus,fungi_845,fungi_596,0.381557840608238,0,fungi_845|fungi_596,Health,ff,0.381557840608238
Amyloporia,Gymnopus,fungi_725,fungi_596,0.351894109944044,6.66133814775094e-16,fungi_725|fungi_596,Health,ff,0.351894109944044
