Sample1	Sample2	Group	Distance	Neighbor1	Neighbor2	Street1	Street2	District1	District2
S1455	S1453	Same_neighbor	0.280957727517	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1494	S1531	Same_neighbor	0.428981169999	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1494	S1520	Same_neighbor	0.257638109969	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1494	S1533	Same_neighbor	0.218855220781	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1001	S1039	Same_neighbor	0.229455044926	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1417	S1424	Same_neighbor	0.191295675022	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1417	S1280	Same_neighbor	0.351290683595	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1417	S1329	Same_neighbor	0.239057239902	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1417	S1422	Same_neighbor	0.321611175714	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1417	S1421	Same_neighbor	0.267988529928	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1088	S1001	Same_neighbor	0.295548075818	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1088	S1039	Same_neighbor	0.231450307384	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1217	S1180	Same_neighbor	0.345803717234	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1332	S1210	Same_neighbor	0.356528245504	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1332	S1185	Same_neighbor	0.278089540166	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1332	S1395	Same_neighbor	0.359645840921	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1332	S1250	Same_neighbor	0.506297546741	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1332	S1183	Same_neighbor	0.433345804983	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1332	S1221	Same_neighbor	0.407407409556	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1332	S1295	Same_neighbor	0.272727272636	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1332	S1425	Same_neighbor	0.400922807995	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1332	S1209	Same_neighbor	0.449058486928	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1533	S1520	Same_neighbor	0.190173338429	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
