phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	Paludibacter	Neis_low	811	0:1	390:421	0.03834	0.000327724365378559	0.269421974099345	0.603863157982746
Occupational_pollution	Enterococcus	Neis_high	815	0:1	421:394	0.06662	0.0011127482817278	0.964006867082716	0.326474397750084
Occupational_pollution	Enterococcus	Neis_low	811	0:1	390:421	0.19656	0.00869221527152891	7.47785163161943	0.00638423359751445
Occupational_pollution	Comamonadaceae	Neis_high	815	0:1	421:394	0.00454	7.45200216727832e-06	0.00610397090151544	0.937745718235369
Occupational_pollution	Comamonadaceae	Neis_low	811	0:1	390:421	-0.03019	0.000383767006560311	0.316435512436741	0.573915080895102
Occupational_pollution	Peptostreptococcaceae	Neis_high	815	0:1	421:394	-0.06352	0.000941659640182932	0.813020331791525	0.3674984843119
Occupational_pollution	Peptostreptococcaceae	Neis_low	811	0:1	390:421	0.05746	0.000677933923752518	0.569370655283047	0.450730890661941
Occupational_pollution	TM7-3	Neis_high	815	0:1	421:394	-0.09821	0.00258104322801336	2.24419213088672	0.134508942802673
Occupational_pollution	TM7-3	Neis_low	811	0:1	390:421	-0.04262	0.000353959597693146	0.30357297978692	0.581804746059566
Occupational_pollution	Streptophyta	Neis_high	815	0:1	421:394	0.02775	0.000174403922119381	0.143588687252991	0.704839039765105
Occupational_pollution	Streptophyta	Neis_low	811	0:1	390:421	0.0519	0.000547864794362453	0.449011937871386	0.502997671964786
Occupational_pollution	Coriobacteriaceae	Neis_high	815	0:1	421:394	-0.04322	0.000682135705481281	0.557072252266129	0.455660196382269
Occupational_pollution	Coriobacteriaceae	Neis_low	811	0:1	390:421	-0.01239	2.51628619004698e-05	0.0206173286166708	0.885862440584324
Occupational_pollution	Enterobacteriaceae	Neis_high	815	0:1	421:394	0.07196	0.00199908419850675	1.64846531337099	0.199537355020163
Occupational_pollution	Enterobacteriaceae	Neis_low	811	0:1	390:421	0.01949	0.000112456023383289	0.0922679291059029	0.761392397562201
Occupational_pollution	Alloiococcus	Neis_high	815	0:1	421:394	0.05304	0.000566014544644125	0.495132399920064	0.481850219650212
Occupational_pollution	Alloiococcus	Neis_low	811	0:1	390:421	0.14246	0.00450704028564987	3.92848919772986	0.0478159637227486
Occupational_pollution	Anaerovorax	Neis_high	815	0:1	421:394	-0.08431	0.00128903487954479	1.11059571108175	0.29226869320118
Occupational_pollution	Anaerovorax	Neis_low	811	0:1	390:421	-0.03521	0.00033221023141132	0.284645304588822	0.59382056678678
Occupational_pollution	Acidaminobacteraceae	Neis_high	815	0:1	421:394	-0.05193	0.000773832446502427	0.658642880299841	0.41727936369627
Occupational_pollution	Acidaminobacteraceae	Neis_low	811	0:1	390:421	-0.00879	1.45747409728073e-05	0.0122194267583285	0.912007616770518
Occupational_pollution	Slackia	Neis_high	815	0:1	421:394	-0.03511	0.000337496786241356	0.282268081930828	0.595365033988306
Occupational_pollution	Slackia	Neis_low	811	0:1	390:421	-0.01457	4.13484036731158e-05	0.0340835944829316	0.853575846875134
Occupational_pollution	Cardiobacterium	Neis_high	815	0:1	421:394	-0.18314	0.00677180523716104	5.61341281965744	0.0180585506052092
Occupational_pollution	Cardiobacterium	Neis_low	811	0:1	390:421	0.10771	0.00317214373560241	2.62087684000832	0.105859791928864
Occupational_pollution	Tissierellaceae	Neis_high	815	0:1	421:394	0.04149	0.000467524741671346	0.383993780206135	0.535648893934285
Occupational_pollution	Tissierellaceae	Neis_low	811	0:1	390:421	0.01579	4.65838222644469e-05	0.0377335013618639	0.846028502684453
Occupational_pollution	Gemella	Neis_high	815	0:1	421:394	0.01614	6.89133749755891e-05	0.0563286673615646	0.81245604849865
Occupational_pollution	Gemella	Neis_low	811	0:1	390:421	0.10119	0.00191756052217419	1.58665699745264	0.208171304227228
