phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	ARG145	Neis_high	557	0:1	280:277	-0.1054	0.00110479226116049	0.61530684911672	0.433136216057976
Occupational_pollution	ARG145	Neis_low	555	0:1	260:295	0	0.000736185410067702	0.940281038224306	0.332635709020907
Occupational_pollution	ARG146	Neis_high	557	0:1	280:277	-0.1478	0.00238359026697806	1.33086242655858	0.249155663065875
Occupational_pollution	ARG146	Neis_low	555	0:1	260:295	-0.03169	0.0012742060399397	0.722294487748479	0.395765493418669
Occupational_pollution	ARG147	Neis_high	557	0:1	280:277	-0.07056	0.000549862949343966	0.306313936065488	0.580177100141881
Occupational_pollution	ARG147	Neis_low	555	0:1	260:295	-0.04756	0.00256342107168367	1.42308937095402	0.233414656833793
Occupational_pollution	ARG148	Neis_high	557	0:1	280:277	-0.01914	0.000112651437978301	0.0626405398484033	0.802464081637595
Occupational_pollution	ARG148	Neis_low	555	0:1	260:295	-0.02638	0.000138250387298686	0.0816380601147109	0.775198276501608
Occupational_pollution	ARG149	Neis_high	557	0:1	280:277	0.00423	4.13596618656017e-06	0.00232122344904893	0.961591110540074
Occupational_pollution	ARG149	Neis_low	555	0:1	260:295	0.08913	0.00163589036375235	0.901599702395001	0.342773993865807
Occupational_pollution	ARG150	Neis_high	557	0:1	280:277	-0.03246	0.000179501198225372	0.10009494661236	0.751836418277592
Occupational_pollution	ARG150	Neis_low	555	0:1	260:295	0.05382	0.00078874182915949	0.434030735011003	0.510295960225344
Occupational_pollution	ARG151	Neis_high	557	0:1	280:277	0.03496	0.000656519312245559	0.364357456870319	0.546346342869843
Occupational_pollution	ARG151	Neis_low	555	0:1	260:295	0.09834	0.0013559621460365	0.766708075806864	0.381623105624134
Occupational_pollution	ARG152	Neis_high	557	0:1	280:277	-0.03034	0.00113954656020694	0.635978072089998	0.42551699698822
Occupational_pollution	ARG152	Neis_low	555	0:1	260:295	0.1807	0.00403201077373697	2.22196062721125	0.136638694074837
Occupational_pollution	ARG153	Neis_high	557	0:1	280:277	0.0154	5.43118534907933e-05	0.0319690441017141	0.858161818045481
Occupational_pollution	ARG153	Neis_low	555	0:1	260:295	-0.03599	0.000275640302279667	0.168684494181067	0.681445021619048
Occupational_pollution	ARG154	Neis_high	557	0:1	280:277	-0.00205	8.29546210029397e-07	0.00050493691805732	0.982080597659621
Occupational_pollution	ARG154	Neis_low	555	0:1	260:295	0.00085	3.35597458801795e-07	0.000195085757550897	0.988861172466819
Occupational_pollution	ARG155	Neis_high	557	0:1	280:277	0.00405	3.54625094725614e-06	0.00210495474116643	0.963422810277032
Occupational_pollution	ARG155	Neis_low	555	0:1	260:295	-0.0561	0.000685303952441804	0.405790275255878	0.524381449825775
Occupational_pollution	ARG156	Neis_high	557	0:1	280:277	0.02258	0.000103102724799593	0.0579003048497758	0.80993606772154
Occupational_pollution	ARG156	Neis_low	555	0:1	260:295	0.05958	0.000806054195655739	0.445331500543141	0.504842780399466
Occupational_pollution	ARG157	Neis_high	557	0:1	280:277	-0.05756	0.000689223060402176	0.386755769745945	0.534268768615812
Occupational_pollution	ARG157	Neis_low	555	0:1	260:295	-0.01887	7.81657840901312e-05	0.043988782880676	0.833952861630783
Occupational_pollution	ARG158	Neis_high	557	0:1	280:277	-0.05599	0.000654512600853168	0.360433613767687	0.54851416121352
Occupational_pollution	ARG158	Neis_low	555	0:1	260:295	0.00535	6.64584858338022e-06	0.00368208938346591	0.951636127671736
Occupational_pollution	ARG159	Neis_high	557	0:1	280:277	-0.1316	0.00371553526834401	2.1381858958732	0.144245975237651
Occupational_pollution	ARG159	Neis_low	555	0:1	260:295	0.14321	0.00448913751181702	2.54891209549538	0.110949870332667
Occupational_pollution	ARG160	Neis_high	557	0:1	280:277	-0.02758	0.000159128638786685	0.099494613348597	0.752557264787464
Occupational_pollution	ARG160	Neis_low	555	0:1	260:295	0.02375	0.000123534343523815	0.073990374224123	0.785716024704509
Occupational_pollution	ARG161	Neis_high	557	0:1	280:277	-0.07618	0.00121667475193415	0.743090586590064	0.389050390712254
Occupational_pollution	ARG161	Neis_low	555	0:1	260:295	0.02032	9.10920742179522e-05	0.0534662748219347	0.817224650710379
Occupational_pollution	ARG162	Neis_high	557	0:1	280:277	0.02737	0.000142739295681905	0.0818248056571852	0.774947851765965
Occupational_pollution	ARG162	Neis_low	555	0:1	260:295	0.04593	0.000506971915137142	0.279903863298284	0.596979641222506
Occupational_pollution	ARG163	Neis_high	557	0:1	280:277	-0.12278	0.00303489407358522	1.74090014569643	0.187576807334953
Occupational_pollution	ARG163	Neis_low	555	0:1	260:295	-0.02765	0.000172630008202668	0.0995590573064844	0.752480211220378
Occupational_pollution	ARG164	Neis_high	557	0:1	280:277	-0.01156	2.77201869035015e-05	0.0160984064082206	0.899082401108765
Occupational_pollution	ARG164	Neis_low	555	0:1	260:295	-0.09257	0.00188775698665039	1.08021941382524	0.299109346168514
Occupational_pollution	ARG165	Neis_high	557	0:1	280:277	-0.05153	0.000558486139551242	0.314528714750896	0.575144038598167
Occupational_pollution	ARG165	Neis_low	555	0:1	260:295	0.11837	0.00313474785364969	1.76615437766559	0.184414822058195
Occupational_pollution	ARG166	Neis_high	557	0:1	280:277	0.11417	0.00248800694980082	1.39486143732653	0.238099088734816
Occupational_pollution	ARG166	Neis_low	555	0:1	260:295	0.17665	0.00761132338085055	4.22440378045189	0.0403225782597665
Occupational_pollution	ARG167	Neis_high	557	0:1	280:277	-0.04697	0.000434005262866022	0.265608600565735	0.606501105034479
Occupational_pollution	ARG167	Neis_low	555	0:1	260:295	-0.0491	0.00121122521321022	0.701472420747945	0.402656508862982
Occupational_pollution	ARG168	Neis_high	557	0:1	280:277	-0.04792	0.000467870334775182	0.26880410185413	0.604344778559014
Occupational_pollution	ARG168	Neis_low	555	0:1	260:295	-0.0579	0.000755006670672465	0.426898086498677	0.51379049499341
Occupational_pollution	ARG169	Neis_high	557	0:1	280:277	0.11856	0.00285406829165132	1.64910339560476	0.199624642281203
Occupational_pollution	ARG169	Neis_low	555	0:1	260:295	-0.02602	0.000152088025462037	0.0870083142091779	0.76812781519217
Occupational_pollution	ARG170	Neis_high	557	0:1	280:277	-0.01261	2.9991870629846e-05	0.0173621470236757	0.89521822608356
Occupational_pollution	ARG170	Neis_low	555	0:1	260:295	0.02892	0.00020081203517619	0.117881792145782	0.731475711519517
Occupational_pollution	ARG171	Neis_high	557	0:1	280:277	0.15074	0.00425710043723701	2.53089179200065	0.112214838351389
Occupational_pollution	ARG171	Neis_low	555	0:1	260:295	-0.0559	0.000762410150251372	0.447531779569029	0.503792677020197
Occupational_pollution	ARG172	Neis_high	557	0:1	280:277	0.03968	0.000330850277527592	0.196422136593682	0.657799654721975
Occupational_pollution	ARG172	Neis_low	555	0:1	260:295	-0.07357	0.00117071544447599	0.681109038673646	0.409566181501296
Occupational_pollution	ARG173	Neis_high	557	0:1	280:277	-0.06919	0.00151643206511354	0.980738012472767	0.322454529828673
Occupational_pollution	ARG173	Neis_low	555	0:1	260:295	-0.07514	0.000941380149897086	0.725364700906578	0.394763880100943
Occupational_pollution	ARG174	Neis_high	557	0:1	280:277	0.04085	0.000165916443010131	0.0921414025206647	0.761587676087742
Occupational_pollution	ARG174	Neis_low	555	0:1	260:295	0	0.000660937512484083	0.940281038224256	0.33263570902092
Occupational_pollution	ARG175	Neis_high	557	0:1	280:277	0.24097	0.00742659555716273	4.14281875069757	0.042292977577837
Occupational_pollution	ARG175	Neis_low	555	0:1	260:295	0.03838	0.000750814794605349	0.417755008734881	0.518331457018606
Occupational_pollution	ARG176	Neis_high	557	0:1	280:277	0.08169	0.00137886182354324	0.781991322529478	0.376921331358512
Occupational_pollution	ARG176	Neis_low	555	0:1	260:295	0.18496	0.00766639462648032	4.50187630783444	0.0343082496400144
Occupational_pollution	ARG177	Neis_high	557	0:1	280:277	0.16766	0.00500405260203155	2.80696617458052	0.0944272142511969
Occupational_pollution	ARG177	Neis_low	555	0:1	260:295	0.14382	0.0053112861833248	2.98028250797277	0.0848512680772548
Occupational_pollution	ARG178	Neis_high	557	0:1	280:277	-0.09302	0.00208579563012209	1.17189606159209	0.279488966853048
Occupational_pollution	ARG178	Neis_low	555	0:1	260:295	-0.123	0.00292969575706725	1.6452757859166	0.200148393406744
Occupational_pollution	ARG179	Neis_high	557	0:1	280:277	-0.14353	0.00543345625880282	3.40329544671895	0.0656067261690107
Occupational_pollution	ARG179	Neis_low	555	0:1	260:295	-0.10177	0.00198309341663738	1.31845443497361	0.251373355396077
Occupational_pollution	ARG180	Neis_high	557	0:1	280:277	-0.11478	0.00317018728301172	1.94275821307809	0.163935342032012
Occupational_pollution	ARG180	Neis_low	555	0:1	260:295	-0.13603	0.00384348162065008	2.32119484599828	0.128201983713855
